pl_name,hostname,sy_snum,tran_flag,pl_orbper,pl_rade,pl_dens,pl_insol,st_teff
55 Cnc e,55 Cnc,2,1,0.7365474,1.875,6.66,,5172
AU Mic b,AU Mic,1,1,8.46321,4.203,4.4,,3700
BD+20 594 b,BD+20 594,1,1,41.6855,2.578,7.89,,5766
CoRoT-1 b,CoRoT-1,1,1,1.5089557,16.7,0.38,,5950
CoRoT-10 b,CoRoT-10,1,1,13.2406,10.87,3.7,,5075
CoRoT-11 b,CoRoT-11,1,1,2.99433,16.03,0.99,,6440
CoRoT-12 b,CoRoT-12,1,1,2.828042,16.14,0.411,,5675
CoRoT-13 b,CoRoT-13,1,1,4.03519,9.92,2.34,,5945
CoRoT-14 b,CoRoT-14,1,1,1.51214,12.22,7.3,,6035
CoRoT-16 b,CoRoT-16,1,1,5.35227,13.11,0.44,,5650
CoRoT-17 b,CoRoT-17,1,1,3.7681,11.43,2.82,,5740
CoRoT-18 b,CoRoT-18,1,1,1.9000693,14.68,2.2,,5440
CoRoT-19 b,CoRoT-19,1,1,3.89713,14.46,0.71,,6090
CoRoT-2 b,CoRoT-2,2,1,1.7429935,16.432,1.47,,5625
CoRoT-20 b,CoRoT-20,1,1,9.24285,9.416,8.87,,5880
CoRoT-21 b,CoRoT-21,1,1,2.72474,14.572,1.36,,6200
CoRoT-22 b,CoRoT-22,1,1,9.75598,4.88,0.249,,5939
CoRoT-23 b,CoRoT-23,1,1,3.6313,11.77,3,,5900
CoRoT-24 b,CoRoT-24,1,1,5.1134,3.7,0.9,,4950
CoRoT-24 c,CoRoT-24,1,1,11.759,5,1.3,,4950
CoRoT-25 b,CoRoT-25,1,1,4.86069,12.11,0.15,,6040
CoRoT-26 b,CoRoT-26,1,1,4.20474,14.12,0.28,,5590
CoRoT-27 b,CoRoT-27,1,1,3.57532,11.287,12.6,,5900
CoRoT-28 b,CoRoT-28,1,1,5.20851,10.705,0.69,,5150
CoRoT-29 b,CoRoT-29,1,1,2.85057,10.088,1.45,,5260
CoRoT-3 b,CoRoT-3,1,1,4.2568,11.32,26.4,,6740
